,roles,companies,locations,experience,skills,Dates,PresentDate,salary
1630,Territory Business Manager,Dr Reddys,Kolkata,3-6 Yrs,pharmaceuticalarea sales managementanalyticalarea salescustomer relationshipchannel salesregional salesinterpersonal skills,9 Days Ago,2024-11-24,Not disclosed
1631,Manufacturing Engineer II - SI,Medtronic,Hyderabad,5-6 Yrs,Engineer IIPLMSAPProject managementCADPPAPPFMEATroubleshooting,9 Days Ago,2024-11-24,Not disclosed
1632,Sr Specialist -I Software Quality Engineer,Philips,Bengaluru,8-10 Yrs,Quality LeadSoftware designQuality standardsMarketing analyticsIdea generationAgileHealthcaresoftware quality,9 Days Ago,2024-11-24,Not disclosed
1633,Key Account Manager,Merck,Hyderabad,5-17 Yrs,SalesNetworkingManagementinfertilityRevenue generationMerchandisingKey account managementMonitoring,9 Days Ago,2024-11-24,Not disclosed
1634,Sr. Executive - Production,Abbott,Jhagadia,2-5 Yrs,Supply chainAnalytical skillsMIS reportingAdministrationSAPNutritionComplianceProduction Executive,10 Days Ago,2024-11-24,Not disclosed
1635,Quality Assurance Executive,Lifecell,Gurugram,1-3 Yrs,NABLQuality AssuranceQuality AuditQMSISO AuditISO DocumentationSop PreparationQuality,9 Days Ago,2024-11-24,Not disclosed
1636,Territory Business Manager - Derma Magna -Patna,Abbott,Kolkata,1-14 Yrs,TrainingBrand AmbassadorDermatologyPharmaAnalyticalRelationship buildingSupervisionSalesforce,10 Days Ago,2024-11-24,Not disclosed
1637,Manager - Operational Excellence,Abbott,Jhagadia,8-14 Yrs,Supply chainManager Operational ExcellenceOPEXRCAChange managementNetworkingNutritionDatabase,10 Days Ago,2024-11-24,Not disclosed
1638,Staff Nurse - Cathlab,Narayana Health (NH),Mysuru,1-3 Yrs,Patient CareNursingCatheterizationCath LabCardiologyGNMBSc NursingAngioplasties,9 Days Ago,2024-11-24,Not disclosed
1639,Business Intelligence Data Analyst MIS Excel data analyst,Max Healthcare,Gurgaon/Gurugram,2-5 Yrs,Business Intelligenceadvanced excelMis AnalysisExceldata analysismis excelIntelligenceBusiness analysis,9 Days Ago,2024-11-24,Not disclosed
1640,Finance Executive,Manipal Hospitals,Ranchi,3-8 Yrs,Daily RevenueCOGS Calculation & ReconciliationDoctor CostCash ReportingPatient AdvanceTDS Data PreparationCogsFinance,9 Days Ago,2024-11-24,Not disclosed
1641,Salesforce Manager,Pfizer,Chennai,6-9 Yrs,Service managementApplication supportCodingPharmaAnalyticalWorkflowOutsourcingTroubleshooting,10 Days Ago,2024-11-24,Not disclosed
1642,Medical Data Entry Operator (Only Freshers) - Life Science Graduates,Rapid Care,Kolkata,0-1 Yrs,MS ExcelTypingTyping Speedmedical reportData EntryScienceMicrosoftExcel,9 Days Ago,2024-11-24,1.75-2 Lacs PA
1643,Territory Manager,Dr Reddys,Ahmedabad,3-6 Yrs,pharmaceuticalanalyticalmarketing strategiesinterpersonal skillskolsales strategysalesretail,9 Days Ago,2024-11-24,Not disclosed
1644,Senior Storage Engineer,Merck,Bengaluru,2-7 Yrs,VMwareNetApp storageData managementTechnical leadershipArchivingManufacturing operationsInformation technologyVirtualization,10 Days Ago,2024-11-24,Not disclosed
1645,Corporate Sales Manager,Metropolis Healthcare,Chennai,4-6 Yrs,Corporate Business DevelopmentCorporate SalesCorporate Relationship ManagementCorporate Sales ManagementSalesDevelopmentManagementCorporate relations,10 Days Ago,2024-11-24,Not disclosed
1646,Registrar/Senior Registrar/Associate Consultant,Narayana Health (NH),Mysuru,1-3 Yrs,MBBSCritical Care UnitsCCUIDCCMIntensive CareMICUCritical Care MedicineCritical care,9 Days Ago,2024-11-24,Not disclosed
1647,Senior Dentist Shollinganlur,Clove Dental,Chennai,10-12 Yrs,rctscalingdentistryrpdbleachingpatient relationscritical carediagnosis,10 Days Ago,2024-11-24,Not disclosed
1648,Senior Regulatory Affairs Specialist,Medtronic,Hyderabad,10-11 Yrs,AdministrationProject developmentInterpersonal skillsInternal auditPharmaClinical trialsRegulatory complianceHealthcare,10 Days Ago,2024-11-24,Not disclosed
1649,Principal Systems Engineer,Medtronic,Hyderabad,16-20 Yrs,Process automationSystem testingProcess optimizationTest scriptsSystem integrationHealthcareFirmwareTroubleshooting,10 Days Ago,2024-11-24,Not disclosed
1650,Manager - Flex Solution and Service Management,Pfizer,Chennai,6-9 Yrs,Application supportChange managementSAPProject managementAnalyticalFlexIncident managementOutsourcing,10 Days Ago,2024-11-24,Not disclosed
1651,"Manager, Front",Pfizer,Chennai,4-8 Yrs,Computer scienceSolution architectureFront endProject managementJavascriptHTMLDigital marketingContinuous improvement,10 Days Ago,2024-11-24,Not disclosed
1652,AI Solutions and Delivery Engineer,Pfizer,Chennai,3-6 Yrs,Front endVersion controlGITCodingGCPProject managementArtificial IntelligencePharma,10 Days Ago,2024-11-24,Not disclosed
1653,Sr. Software Architect,Philips,Bengaluru,9-14 Yrs,BackendC++Medical devicesNetworkingCodingRadiologyHealthcareSoftware Architect,10 Days Ago,2024-11-24,Not disclosed
1654,Floor coordinator,Amba Health Centre And Hospital,Ahmedabad,1-3 Yrs,Floor Coordinator,11 Days Ago,2024-11-24,Not disclosed
1655,Quality Control Executive,Mankind Pharma,Udaipur,5-8 Yrs,UVGLPGMPGCHPLCRisk AssessmentQMS ImplementationDissolution Apparatus,10 Days Ago,2024-11-24,5-10 Lacs PA
1656,Quality Assurance (Validation/Qualification) | SME,Zydus Lifesciences,Ahmedabad,4-7 Yrs,InjectablesChange ControlCleaning ValidationMarket ComplaintsProcess ValidationEquipment QualificationQMSParenteral,10 Days Ago,2024-11-24,Not disclosed
1657,Qa Executive,Emcure,"Sanand, Ahmedabad",4-9 Yrs,Process ValidationParenteralAsepticSterileMedia FillBmr ReviewLvpOncology,10 Days Ago,2024-11-24,Not disclosed
1658,Receptionist,UV Veterinary Diagnostics And Research Centre,Noida,2-3 Yrs,Computer OperatingOffice AssistanceCustomer HandlingHospitalityFront DeskReceptionist ActivitiesReceptionTelephone Handling,10 Days Ago,2024-11-24,2-3 Lacs PA
1659,Executive,"Mankind Pharma Limited, Udaipur",Udaipur,5-8 Yrs,OOSLab QaAnalytical QaInvestigationReviewData ReviewDocument ReviewDocuments,10 Days Ago,2024-11-24,4-8 Lacs PA
1660,Deputy Medical Superintendent,Manipal Hospitals,Ranchi,7-10 Yrs,Hospital AdministrationCompliance & Audit ManagementResource Planning & OptimizationRisk Management,10 Days Ago,2024-11-24,Not disclosed
1661,Territory Manager,Dr Reddys Path Labs,Hyderabad,0-3 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,30+ Days Ago,2024-11-24,Not disclosed
1662,Psychologist,Amba Health Centre And Hospital,Ahmedabad,1-3 Yrs,Psychology,11 Days Ago,2024-11-24,Not disclosed
1663,Medical Dresser,Amba Health Centre And Hospital,Ahmedabad,1-3 Yrs,Medical DresserMedical,11 Days Ago,2024-11-24,Not disclosed
1664,Senior Executive,Mankind Pharma,Udaipur,5-10 Yrs,Analytical Data ReviewQMSGLPData ReviewReviewSeniorDataAnalytical,10 Days Ago,2024-11-24,3-6.5 Lacs PA
1665,Biomedical or Electronics Engineer,Amba Health Centre And Hospital,Ahmedabad,1-3 Yrs,ElectronicsbiomedicalElectronics engineeringBiomedical Engineering,11 Days Ago,2024-11-24,Not disclosed
1666,Billing Executive,Rukmani Birla Hospital CK Birla,Jaipur,3-8 Yrs,Cash HandlingBillingPayment PostingMedical BillingInvoicingCashMedicalHandling,10 Days Ago,2024-11-24,Not disclosed
1667,Senior Resident/ Attending Consultant- Critical Care Physician,Max Healthcare,Lucknow(Gomti Nagar),0-2 Yrs,Critical CareIntensivist ActivitiesSeniorConsulting,10 Days Ago,2024-11-24,20-27.5 Lacs PA
1668,Assistant Manager / Deputy Manager - Legal,Max Healthcare,Gurugram(Sector 59 Gurgaon),3-7 Yrs,NegotiationAgreementsDraftingStakeholder ManagementLegalManagementAssistanceLegal management,10 Days Ago,2024-11-24,5-8 Lacs PA
1669,ITQA/ CSV Officer/Executive,Emcure,Ahmedabad,4-7 Yrs,QC LaboratoryInstrument EngineeringCsvGampUser ManagementData ManagementHMI SoftwareSCADA,9 Days Ago,2024-11-24,Not disclosed
1670,Deputy Manger - Taxation -Accounts & Finance (Max Lab),Max Healthcare,Gurugram,5-7 Yrs,Direct TaxGst ReturnIndirect TaxationTDS ReturnTax ReturnsDirectTaxationTax Payments,10 Days Ago,2024-11-24,Not disclosed
1671,Consultant Neurosurgeon,Paras Healthcare Limited,Darbhanga,0-3 Yrs,NeurosurgeryDNBConsulting,2 Days Ago,2024-11-24,Not disclosed
1672,Manager- Accounts & Finance (Financial Reporting) Max Lab,Max Healthcare,Gurugram,8-12 Yrs,Financial ReportingFinancial PlanningBudgetingFinancial managementReportingFinanceManagementAccounting,10 Days Ago,2024-11-24,Not disclosed
1673,Oss Solution Architect,Pfizer,Chennai,5-8 Yrs,AEM FranklinHTMLCSSJavaScriptPHPAemCsArchitecture,10 Days Ago,2024-11-24,Not disclosed
1674,Patient Relation Executive,Aashvi Infotech,Ahmedabad(Bodakdev),1-6 Yrs,hospitalOPDhospital billingopd billigHospital ManagementHospital Operationsipd billingIPD,11 Days Ago,2024-11-24,1-3.25 Lacs PA
1675,Associate | Medical Record Department,Manipal Hospitals,Ranchi,2-5 Yrs,Medical RecordMedical RecordsMedical,11 Days Ago,2024-11-24,Not disclosed
1676,Executive - Packaging Development,Torrent Pharmaceuticals,"Gandhinagar, Ahmedabad",2-5 Yrs,Packaging DesignPackaging DevelopmentBom PreparationDesignPackagingBomDevelopment,9 Days Ago,2024-11-24,Not disclosed
1677,Territory Sales Manager,Metropolis Healthcare,Shimoga(Shivamogga),2-4 Yrs,B2C SalesTerritory Sales ManagementManagementTerritoryB2CSalesSales managementTerritory sales,11 Days Ago,2024-11-24,4-6 Lacs PA
1678,Hr Executive,Amba Health Centre And Hospital,Ahmedabad,1-3 Yrs,HR Executive,11 Days Ago,2024-11-24,Not disclosed
1679,Territory Business Manager | Restora | Kolkata,Abbott,Kolkata,1-14 Yrs,TrainingBrand AmbassadorPharmaAnalyticalRelationship buildingSupervisionSalesforceAnalytics,11 Days Ago,2024-11-24,Not disclosed
1680,Territory Business Manager | Restora | Patna,Abbott,Patna,1-14 Yrs,TrainingBrand AmbassadorPharmaAnalyticalRelationship buildingSupervisionSalesforcePharmaceutical,11 Days Ago,2024-11-24,Not disclosed
1681,Territory Business Manager || Novanxt || Kanpur,Abbott,Lucknow,1-14 Yrs,TrainingBrand AmbassadorPharmaRelationship buildingSupervisionSalesforceBuildingManagement,11 Days Ago,2024-11-24,Not disclosed
1682,Accountant,Amba Health Centre And Hospital,Ahmedabad,1-3 Yrs,CAccounting,11 Days Ago,2024-11-24,Not disclosed
1683,Optometrist,Amba Health Centre And Hospital,Ahmedabad,2-7 Yrs,AprOptometry,11 Days Ago,2024-11-24,Not disclosed
1684,Analyst,Merck,Bengaluru,1-3 Yrs,AnalystERPSAPSalesMS AccessSFDCOracleAnalysis,11 Days Ago,2024-11-24,Not disclosed
1685,Territory Business Manager | General Medicine | Bettiah,Abbott,Patna,1-6 Yrs,TrainingBrand AmbassadorPharmaAnalyticalRelationship buildingSupervisionSalesforceGeneral,11 Days Ago,2024-11-24,Not disclosed
1686,TPA Coordinator,Amba Health Centre And Hospital,Ahmedabad,1-3 Yrs,TPA CoordinatorTPA,11 Days Ago,2024-11-24,Not disclosed
1687,OT Nurse,Amba Health Centre And Hospital,Ahmedabad,2-7 Yrs,GNMOT NurseMARMarsNursingOT,11 Days Ago,2024-11-24,Not disclosed
1688,"Medical Officer ( BHMS, BAMS) - Jaipur",Healthcare Provider,Jaipur,3-6 Yrs,BHMSClinicalMedical OfficerBAMSMedicalBac,11 Days Ago,2024-11-24,Not disclosed
1689,Concurrent Auditor,Max Healthcare,Gurugram,4-6 Yrs,Concurrent AuditAuditCompany AuditAuditingCompanyConcurrent,11 Days Ago,2024-11-24,18-20 Lacs PA
1690,Unit Biomedical Engineering,Manipal Hospitals,Kolkata,8-12 Yrs,engagementlayout planningmedical equipmentbiomedical engineeringuser acquisitionasset managementinfection controlbiomedical,11 Days Ago,2024-11-24,Not disclosed
1691,Ent Software Test Engineer II,Medtronic,Hyderabad,3-6 Yrs,Product managementCommunication protocolsC++Manager Quality AssuranceCodingManager TechnologySystem designSensors,11 Days Ago,2024-11-24,Not disclosed
1692,Senior Analyst,Merck,Bengaluru,4-9 Yrs,Performance tuningCognosAgileScrumManager Quality Controlapplication architectureTroubleshootingAnalytics,11 Days Ago,2024-11-24,Not disclosed
1693,Assistant Manager- Talent Acquisition,Max Healthcare (MAX@Home),Gurugram,3-7 Yrs,nursing hiringMass RecruitmentCampus HiringRecruitmentTalent AcquisitionHiringBulk HiringAcquisition,11 Days Ago,2024-11-24,Not disclosed
1694,Customer Support Executive - Escalation Desk,1mg,Noida,0-3 Yrs,Escalation ManagementCustomer SupportCommunication SkillsCustomer HandlingManagementHandlingDeskEscalations,12 Days Ago,2024-11-24,"50,000-3 Lacs PA"
1695,OT Technician at Indira IVF Chennai,Indira Ivf Hospital,Chennai,0-5 Yrs,OTOperation TheatreOperationsIvfTheatre,12 Days Ago,2024-11-24,1.5-3.5 Lacs PA
1696,Female Telesales Coordinator,Light Hub,Thrissur(Paravattani),0-2 Yrs,Computer LiterateExcel SheetTelesalesSheetExcelComputer,3 Days Ago,2024-11-24,1.2-1.44 Lacs PA
1697,Front Office Executive - Front Office,Max Hospital@ Gurgaon,Gurugram(Sushant Lok Phase 1),1-4 Yrs,Front OfficeOfficeFront,14 Days Ago,2024-11-24,Not disclosed
1698,Business Development & Portfolio management (US),Mankind Pharma,"Gurugram, Manesar, Delhi / NCR",4-9 Yrs,In-licensingBusiness DevelopmentUS MarketPortfolio ManagementRegulatoryIPRGenericsManagement,12 Days Ago,2024-11-24,Not disclosed
1699,"Financial Counsellor, Fortis Hospital Manesar",Fortis,Manesar,3-6 Yrs,Patient CounsellingFinancial CounsellingPatient CareSurgery TarrifAdmissionsCounsellingFinanceSurgery,14 Days Ago,2024-11-24,Not disclosed
1700,Territory Business Manager | General Medicine |,Abbott,Kolkata,2-7 Yrs,PharmaFinancePackagingManagementResearchOperationsSalesforceGeneral,12 Days Ago,2024-11-24,Not disclosed
1701,Regional Sales Training Manager,Abbott,Kolkata,1-5 Yrs,TrainingField StaffNutritionCritical careRegional salesSales trainingNational salesTalent management,12 Days Ago,2024-11-24,Not disclosed
1702,Interventional Radiologist,Manipal Hospitals,Ranchi,10-15 Yrs,CT ScanMRIUSGX-RayRadiologyCTScanningInterventional Radiology,12 Days Ago,2024-11-24,Not disclosed
1703,Depot Manager,Zydus Healthcare Limited,Lucknow,9-14 Yrs,ComplianceDepotPharmaceutical HUBOrder to DeliveryHUB OperationsAuditDepot OperationsStock Management,12 Days Ago,2024-11-24,Not disclosed
1704,Project Manager,Philips,Bengaluru,8-10 Yrs,C++PMPManager Quality AssurancePerformance managementProject managementTechnical leadershipStrategic planningHealthcare,12 Days Ago,2024-11-24,Not disclosed
1705,Technical Project Manager,Philips,Bengaluru,8-10 Yrs,ProcurementSUBIdea generationProject managementFocusProject planningBudgetingTechnology solutions,12 Days Ago,2024-11-24,Not disclosed
1706,Business Analyst,Max Healthcare,Gurugram(Gurgaon Faridabad Road),3-6 Yrs,Business analysisBusiness AnalyticsMISAnalysisAnalytics,12 Days Ago,2024-11-24,7-9 Lacs PA
1707,Key Accounts Manager,Metropolis Healthcare,Mysuru,2-5 Yrs,Sales DevelopmentOperations ManagementAccountingOperationsManagementKey accountsKeyKey account management,11 Days Ago,2024-11-24,2.5-5 Lacs PA
1708,Home Visit Manager,Metropolis Healthcare,Chennai,6-10 Yrs,Communication SkillsPlanning SkillsLeadership SkillsInterpersonal SkillsLeadershipInterpersonal SkillManagementPlanning,12 Days Ago,2024-11-24,Not disclosed
1709,Key Account Manager- Diabetes Maximus-,Abbott,Ahmedabad,3-13 Yrs,Analytical skillsMedical devicesPharmaRelationship buildingCorporateBusiness planningHealthcareCME,12 Days Ago,2024-11-24,Not disclosed
1710,Anesthesia Consultant Doctor,MEDREC HOSPITAL AND RESEARCH CENTRE PRIVATE LIMITED,Jehanabad,3-8 Yrs,Anesthesiasurgical managementmedical managementpain managementConsultingSurgicalMedicalManagement,12 Days Ago,2024-11-24,Not disclosed
1711,Global Technology Lead (MS&T),Watson Pharama,"Noida, Greater Noida",12-14 Yrs,Process designProcurementOrganic synthesisOrganic chemistryProject managementProcess improvementTechnology LeadCost reduction,12 Days Ago,2024-11-24,Not disclosed
1712,Digital Specialist - TrackNTrace,Dr Reddys,Hyderabad,3-6 Yrs,sap sdtrackinguser exitsichoperationssap wmenhancementssap logistics,12 Days Ago,2024-11-24,Not disclosed
1713,Principal Software V&V Engineer - SR,Medtronic,Hyderabad,7-11 Yrs,Software designOperating systemsProject managementManager TechnologyHealthcareBusiness strategyTalent managementIndividual Contributor,12 Days Ago,2024-11-24,Not disclosed
1714,Accession Officer,Orange Healthcare,Hyderabad,0-2 Yrs,Interpersonal skillsLMSDiagnosticsTime managementProcess improvementHealthcareWorkflowdata privacy,15 Days Ago,2024-11-24,Not disclosed
1715,API Production - Officer / Executive / Senior Executive,Zydus Lifesciences,Vadodara,2-5 Yrs,ProductionApi ProductionAPISenior,15 Days Ago,2024-11-24,Not disclosed
1716,Trainee,Manipal Hospitals,Mangaluru,0-2 Yrs,policiesadmissionsnursingpatient caremonitoringworkshop managementinventoryprofessional development,16 Days Ago,2024-11-24,Not disclosed
1717,Phlebotomist,1mg,Jaipur,0-4 Yrs,DmltPhlebotomyBlood CollectionSample CollectionMLTSamplingCollections,15 Days Ago,2024-11-24,1-3 Lacs PA
1718,Senior Analyst,Merck,Bengaluru,1-3 Yrs,AnalystERPSAPSalesMS AccessSFDCOracleMicrosoft,15 Days Ago,2024-11-24,Not disclosed
1719,Quality Assurance Specialist,Alkem MedTech Private Limited,Rajkot,5-10 Yrs,Quality AssuranceUSFDAISO 13485Audit ComplianceQuality ComplianceInspectionRisk ManagementQuality,15 Days Ago,2024-11-24,Not disclosed
1720,Graduate Engineering Trainee,Abbott,Jhagadia,0-3 Yrs,Supply chainEHSManager Quality AssuranceISONutritionProcess improvementGMPFood processing,16 Days Ago,2024-11-24,Not disclosed
1721,Operations Manager,Subham Hospital & Diagnostic Centre,Cooch Behar,5-10 Yrs,Management and AdministrationAdministrationOperations managementManagementOperations,15 Days Ago,2024-11-24,2.5-3.5 Lacs PA
1722,Consultant Pathologist @ Nagpur,Metropolis Healthcare,Nagpur,1-2 Yrs,PathologyResearch and DevelopmentDiagnostic EvaluationMicroscopyDiagnosticsEvaluationResearchDevelopment,14 Days Ago,2024-11-24,Not disclosed
1723,Senior Resident/ Attending Consultant- Radiology @ Fortis Noida,Fortis,"Noida, Delhi / NCR",0-5 Yrs,RadiologyDNBSeniorConsulting,16 Days Ago,2024-11-24,Not disclosed
1724,"International Operations - Fortis Hospital, Manesar",Fortis,Manesar,4-8 Yrs,International OperationsSales And MarketingSales OperationsBusiness OperationsOperationsOperations ManagementSalesMarketing,9 Days Ago,2024-11-24,Not disclosed
1725,Assistant Manager- Process,Abbott,Jhagadia,8-10 Yrs,TPMSupply chainEHSQuality standardsNutritionLean manufacturingPeople management skillsProcess improvement,15 Days Ago,2024-11-24,Not disclosed
1726,HR Generalist,Teva Pharmaceuticals,Chandpur,5-10 Yrs,Industrial RelationsIRERLabour LawsLabour WelfareUnionHrsdIndustrial,15 Days Ago,2024-11-24,Not disclosed
1727,Supervisor,Merck,Bengaluru,4-9 Yrs,Leadership developmentData analysisSAPHRISProcess improvementEmployee engagementWorkforce planningTalent management,15 Days Ago,2024-11-24,Not disclosed
1728,Key Account Manager - Futura-,Abbott,Chennai,2-5 Yrs,TradeCustomer managementPharmaMarket intelligenceBusiness planningCMEBusiness strategyMarketing strategy,15 Days Ago,2024-11-24,Not disclosed
1729,Global MS&T Technology lead-API,Teva Pharmaceuticals,Greater Noida,12-18 Yrs,MS&TTechnologyMicrosoftGlobalT,4 Days Ago,2024-11-24,Not disclosed
1730,Territory Manager,Dr Reddys Path Labs,Tirunelveli,5-6 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,15 Days Ago,2024-11-24,Not disclosed
1731,District Manager -Key Accounts -,Abbott,Kolkata,3-13 Yrs,FinancePackagingMarket researchOperationsSalesforceResearchManagementMarketing,15 Days Ago,2024-11-24,Not disclosed
1732,Technical Consultant,Philips,Bengaluru,4-12 Yrs,Service managementChange managementAutomationProcess improvementAnalyticalHealthcareWorkflowIncident management,15 Days Ago,2024-11-24,Not disclosed
1733,Technical Consultant,Philips,Bengaluru,4-12 Yrs,Service managementVMwareChange managementAutomationProcess improvementAnalyticalHealthcareWorkflow,15 Days Ago,2024-11-24,Not disclosed
1734,Associate - Admission & billing,Manipal Hospitals,Jaipur,0-5 Yrs,accounts receivablecredit collectioncollection managementcustomer serviceinvoice processingauditingrecoveryaccounting,18 Days Ago,2024-11-24,Not disclosed
1735,Junior Clinical Pharmacist-Clinical Pharmacy,Medanta,Gurugram,23 Nov - 02 Dec,B PharmaM PharmaClinical pharmacyMClinicalPharmaceuticalPharmacy,1 Day Ago,2024-11-24,2.5-3.25 Lacs PA
1736,Cashier,Aakash Fertility Centre And Hospital,Chennai,1-3 Yrs,Cash ReconciliationCommunication SkillsCash HandlingCashHandlingCashier activitiesReconciliation,11 Days Ago,2024-11-24,1.5-2 Lacs PA
1737,Regulatory Affairs Officer,Cliantha Research,Ahmedabad,0-2 Yrs,Regulatory AffairsDrug Regulatory AffairsDossierEctdDrugRegulatory,11 Days Ago,2024-11-24,1.75-3 Lacs PA
1738,Accounts Associate,Vspm Academy Of Higher Education,Nagpur,1-2 Yrs,ReconciliationTDSInvoice ProcessingGstAccounts ReceivableAccounts PayableClaims ProcessingAccounting,15 Days Ago,2024-11-24,Not disclosed
1739,"QC Analyst - Opportunity To Work at Zydus Group, Ahmedabad",Zydus Lifesciences,Ahmedabad,2-5 Yrs,QCHPLCUV-visibleHplc AnalysisDissolution ApparatusQc AnalysisMethod ValidationAnalysts,9 Days Ago,2024-11-24,3-6 Lacs PA
1740,TBM (Medical Representative) _ Nashik,Panacea Biotec,Nashik,1-6 Yrs,medica representativepharma saleSalesPharmaceuticalMedicalTBMPharma selling,3 Days Ago,2024-11-24,Not disclosed
1741,"Associate Consultant- Cardiology- Medanta Hospital, Gurgaon",Medanta,Gurugram,0-3 Yrs,Interventional CardiologistConsultingInterventional CardiologyHospitalCardiology,1 Day Ago,2024-11-24,Not disclosed
1742,Job Opening For Manager - Finance & Accounts - MIS & P&L,Paras Healthcare Limited,Udaipur,22 Nov - 01 Dec,MISMIS PreparationPayoutMIS OperationsBudget ManagementFinance And AccountsAdvanced ExcelBudget Preparation,1 Day Ago,2024-11-24,6.5-10 Lacs PA
1743,Technician- Radiology,Manipal Hospitals Patiala,Patiala,0-4 Yrs,MRIMammographyX-RayCT ScanCTRadiologyScanning,17 Days Ago,2024-11-24,Not disclosed
1744,Nursing / Tutors / AHS Faculty / Hostel Warden,IDEA PLUS PRO HR AND BUSINESS SOLUTIONS,Hosur,0-5 Yrs,WARDENNursingTutoringAHS FACULTYPaediatricCommunity MedicineGNMNursing Education,19 Days Ago,2024-11-24,Not disclosed
1745,Territory Business Manager | Restora | Thirunelveli,Abbott,Chennai,0-4 Yrs,Analytical skillsStakeholder EngagementMedical devicesPharmaHealthcareMarket researchCMEAuditing,30+ Days Ago,2024-11-24,Not disclosed
1746,"Walkin -Drive - Field Sales ""Medical Representative""",Lupin,"Guntur, Hyderabad, Kurnool",0-5 Yrs,Pharma SellingTerritory SalesMRMedical SalesPharma MarketingMedical RepHospital SalesDrives,18 Days Ago,2024-11-24,3-4 Lacs PA
1747,Urgent Requirement -AMS/DMS @ Fortis Escorts Faridabad,Fortis,Faridabad,5-8 Yrs,MBBSMDSDmsMDTAmsRequirementsDm,11 Days Ago,2024-11-24,Not disclosed
1748,Staff Nurse - Fresher & OT/ICU/WARD/Casualty/Emergency,People Alliance Workforce,"Ahmedabad, Jaipur, Delhi / NCR",0-5 Yrs,B.Sc NursingNursingStaff NursenurseSurgicalFemale Staff NurseOTICU Staff Nurse,Few Hours Ago,2024-11-24,Not disclosed
1749,Radiologist,Hitkari Hospital & Surgical Centre,"Balotra, Jodhpur",0-5 Yrs,Radio DiagnosisMRIRadiologyX-RayUSGColour DopplerCT ScanDoppler,14 Days Ago,2024-11-24,40-60 Lacs PA
1750,Assistant Manager- Human Resource (Compliance Management) Max Lab,Max Healthcare,Gurugram,3-5 Yrs,Compliance ManagementVendor CoordinationStatutory ComplianceCoordinationResourceManagementAssistanceLab,10 Days Ago,2024-11-24,Not disclosed
1751,Lab Technician,Sodexo,Chennai(Taramani),0-4 Yrs,DmltLab MaintenanceLabMaintenance,18 Days Ago,2024-11-24,2-2.75 Lacs PA
1752,Resident Medical Officer,Fortis,"Mohali, Chandigarh",0-5 Yrs,resident medical officerMBBSMOEmergency MedicineGynecologyObstetrics And GynaecologyJunior ResidentRmo,19 Days Ago,2024-11-24,Not disclosed
1753,Radiologist Consultant - Jamshedpur,Staffing,Jamshedpur,0-5 Yrs,CTBiopsyRadiologyUSGFNACMRIConsulting,16 Days Ago,2024-11-24,Not disclosed
1754,Receptionist,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-1 Yrs,front deskcomputer operatingtranscriptionadministrationback officereceptionist activitiesoffice assistanceoffice administration,30+ Days Ago,2024-11-24,Not disclosed
1755,MANAGER - FACILITIES,Perfect Imaging And Diagnostic Centre,Surat,0-1 Yrs,parkingManager TechnologyCateringFacility ManagerSupervisionTechnologyManagementTechnology management,30+ Days Ago,2024-11-24,Not disclosed
1756,RECEPTION EXECUTIVE,Perfect Imaging And Diagnostic Centre,Surat,0-1 Yrs,front deskcomputer operatingadministrationback officeback office operationscustomer serviceoffice assistanceoffice administration,30+ Days Ago,2024-11-24,Not disclosed
1757,Receptionist,Aditya Homoeopathic Hospital & Healing Centre,"Pimpri-Chinchwad, Maharashtra",0-1 Yrs,ReceptionistAdministrationFront DeskTelephone ScreeningTravel ArrangementsFront OfficeComputer OperatingTravel Operations,30+ Days Ago,2024-11-24,Not disclosed
1758,Clinic Assistant,Dr Guptas Dental Specialities Centre,Chennai,0-3 Yrs,DentistryAssistance,30+ Days Ago,2024-11-24,Not disclosed
1759,Executive,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-1 Yrs,financial analysisadministrationdocumentationstore keepingauditingtrainingaccountingoffice administration,30+ Days Ago,2024-11-24,Not disclosed
1760,Supervisor,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-2 Yrs,shift planningmechanical engineeringteam managementproductionpresentation skillsmanpower handlingteam leadingleadership skills,30+ Days Ago,2024-11-24,Not disclosed
1761,Accountant,M/s. Nagindas Hiralal Bhayani,Ankleshwar,0-2 Yrs,balance sheettdsaccounts payableinvestmentgeneral accountinggstauditingaccounting,30+ Days Ago,2024-11-24,Not disclosed
1762,PHLEBOTOMIST,Perfect Imaging And Diagnostic Centre,Surat,0-1 Yrs,sterilitypathologylab testingblood bankclinical chemistrydocumentationmicrobiologyhistopathology,30+ Days Ago,2024-11-24,Not disclosed
1763,Officer,M/s. Nagindas Hiralal Bhayani,"Jamnagar, Ahmedabad, Rajkot, Surat, Vadodara",0-2 Yrs,quality controlsoftware testingmechanical engineeringisoquality auditproductiondocumentationbanking operations,30+ Days Ago,2024-11-24,Not disclosed
1764,Assistant Manager,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-2 Yrs,project managementbalance sheetquality controlcustomer serviceaccountinginventoryretailbudgeting,30+ Days Ago,2024-11-24,Not disclosed
